Gender,Age,Study_Time,Family_Support,Internet_Access,Previous_Grades,Absences,Extra_Classes,Health_Status,Final_Grade
Male,16,1,Yes,Yes,72.8,5,No,3.0,Fail
Female,22,1,Yes,Yes,,4,No,5.0,Pass
Female,18,1,Yes,Yes,58.1,5,No,5.0,Pass
Male,21,2,No,Yes,55.7,5,Yes,2.0,Fail
Male,17,2,No,No,76.2,7,Yes,5.0,Pass
Female,18,4,No,Yes,75.9,3,No,5.0,Pass
Male,21,3,No,Yes,46.8,10,No,3.0,Fail
Female,18,2,Yes,No,65.5,3,Yes,4.0,Pass
Male,22,2,Yes,Yes,45.0,8,No,4.0,Fail
Female,18,2,Yes,Yes,59.7,2,No,5.0,Fail
Female,22,2,Yes,Yes,56.9,7,No,3.0,Pass
Male,22,3,No,Yes,58.9,3,No,4.0,Pass
Male,21,3,No,Yes,65.0,5,No,5.0,Fail
Female,15,3,Yes,Yes,60.9,4,No,3.0,Fail
Female,16,2,Yes,Yes,60.9,7,Yes,3.0,Pass
Male,15,3,No,Yes,83.4,6,No,3.0,Fail
Male,19,2,Yes,Yes,84.8,3,Yes,4.0,Pass
Female,17,4,No,Yes,71.8,4,No,3.0,Pass
Male,20,2,No,Yes,61.0,7,No,5.0,Pass
Female,18,2,Yes,Yes,78.8,4,Yes,4.0,Pass
Female,22,1,No,Yes,76.5,9,No,3.0,Fail
Male,16,2,No,Yes,65.3,4,Yes,5.0,Fail
Female,15,3,Yes,Yes,74.1,8,No,3.0,Fail
Male,16,1,Yes,Yes,57.2,2,Yes,5.0,Fail
Female,21,3,Yes,Yes,70.5,4,No,5.0,Pass
Male,19,1,No,Yes,76.0,3,No,3.0,Fail
Male,16,1,Yes,Yes,73.8,3,Yes,2.0,Pass
Male,21,2,Yes,Yes,78.1,8,No,3.0,Fail
Female,22,2,No,Yes,50.5,2,No,4.0,Fail
Male,16,1,No,No,75.0,3,Yes,3.0,Fail
Female,17,3,Yes,Yes,72.1,2,No,4.0,Pass
Female,20,2,No,Yes,57.2,6,No,5.0,Fail
Female,17,2,Yes,Yes,93.2,6,Yes,2.0,Pass
Female,20,3,No,Yes,50.8,5,No,4.0,Fail
Female,17,4,Yes,Yes,77.8,4,No,4.0,Pass
Female,19,1,Yes,No,56.1,4,No,4.0,Fail
Female,17,1,Yes,Yes,52.5,6,No,5.0,Pass
Female,22,2,Yes,Yes,48.2,3,Yes,3.0,Fail
Female,18,2,Yes,Yes,36.2,5,Yes,3.0,Fail
Male,20,2,Yes,Yes,55.3,3,Yes,3.0,Pass
Male,16,1,No,Yes,75.6,3,No,2.0,Fail
Female,21,1,Yes,No,69.9,5,Yes,4.0,Pass
Male,21,1,No,Yes,58.3,6,Yes,2.0,Fail
Female,20,1,Yes,No,66.6,3,No,5.0,Fail
Male,22,2,No,No,52.3,8,No,1.0,Fail
Female,21,1,No,Yes,64.2,4,Yes,3.0,Pass
Male,17,3,No,Yes,53.3,2,Yes,4.0,Pass
Male,21,4,Yes,Yes,57.4,4,No,5.0,Pass
Female,15,1,No,Yes,82.1,2,No,2.0,Fail
Male,22,1,Yes,Yes,65.7,3,No,5.0,Fail
Female,22,1,Yes,Yes,46.1,1,No,5.0,Pass
Female,19,1,Yes,Yes,55.1,3,No,4.0,Fail
Male,21,2,Yes,No,64.7,5,No,3.0,Fail
Female,20,3,Yes,Yes,55.5,6,No,5.0,Pass
Male,15,1,No,No,65.7,7,No,3.0,Fail
Female,19,2,No,Yes,37.8,3,No,3.0,Fail
Female,20,2,Yes,Yes,84.0,4,Yes,,Pass
Female,20,2,Yes,Yes,85.0,5,Yes,4.0,Pass
Female,22,3,No,Yes,92.4,4,No,5.0,Pass
